time,tx,ty,tz,rx,ry,rz,rw
1539699472,0.849172900964,0.470097661895,-0.0100000000427,0.0,0.0,-0.483932973747,0.875105068657
1539699473,0.949799018965,0.365704364537,-0.0100000002526,0.0,0.0,-0.245001318712,0.969522758418
1539699474,1.07957710602,0.343038005618,-0.0100000003295,0.0,0.0,0.0899932981544,0.995942387509
1539699475,1.23258886715,0.388146892679,-0.0100000003773,0.0,0.0,0.22687311896,0.973924342864
1539699476,1.36534454504,0.473353913567,-0.0100000002861,0.0,0.0,0.331640395049,0.943405891961
1539699477,1.48400152645,0.559799040425,-0.0100000004859,0.0,0.0,0.238142652132,0.971230212581
1539699478,1.64206612271,0.603107345578,-0.0100000003047,0.0,0.0,-0.000173269853858,1.00000000023
1539699479,1.78143096357,0.574689644682,-0.00999999972569,0.0,0.0,-0.224184639104,0.974546674182
1539699480,1.87632513202,0.490164317396,-0.00999999981458,0.0,0.0,-0.502942864261,0.864319649636
1539699481,1.90415569544,0.364536451617,-0.00999999996303,0.0,0.0,-0.726628475364,0.6870306071
1539699482,1.86517195052,0.21767831957,-0.00999999998699,0.0,0.0,-0.86522349334,0.501386383212
1539699483,1.76294205694,0.0705454465843,-0.0100000000021,0.0,0.0,-0.885933025987,0.463813188341
1539699484,1.69274279998,-0.0891934628924,-0.0100000002261,0.0,0.0,-0.765128777011,0.643877299804
1539699485,1.68537000213,-0.269379294141,-0.0100000006478,0.0,0.0,-0.688817662673,0.724934681447
1539699486,1.67626240346,-0.372745145161,-0.0100000002733,0.0,0.0,-0.851087424177,0.525024022062
1539699487,1.59481860277,-0.458887565463,-0.00999999975366,0.0,0.0,-0.97236950321,0.233447048798
1539699488,1.46601658349,-0.49456422916,-0.00999999990958,0.0,0.0,-0.995781932521,-0.0917514785911
1539699489,1.39419435486,-0.461366567573,-0.00999999991488,0.0,0.0,0.903409624781,0.428778545803
1539699490,1.33343555677,-0.320251488234,-0.0100000000157,0.0,0.0,0.760078390555,0.649831394886
1539699491,1.28261512185,-0.135364463644,-0.0100000000599,0.0,0.0,0.710348770334,0.703849863593
1539699492,1.20348579125,0.018422350809,-0.00999999970224,0.0,0.0,0.810960524918,0.585100843658
1539699493,1.12678759485,0.143955612135,-0.0100000000543,0.0,0.0,-0.918457114217,-0.395520587048
1539699494,0.97328173535,0.241557078302,-0.0100000005197,0.0,0.0,-0.965496943871,-0.26041448375
1539699495,0.840835412938,0.332722397598,-0.00999999988028,0.0,0.0,-0.93868315144,-0.34478098734
1539699496,0.739468333684,0.456704951354,-0.0100000001746,0.0,0.0,0.86553742154,0.500844276567
1539699497,0.677153722533,0.617098726643,-0.0100000002221,0.0,0.0,0.798673288311,0.601764904883
1539699498,0.619206104017,0.743047089501,-0.00999999992367,0.0,0.0,-0.908494682207,-0.417896404349
1539699499,0.492273784878,0.840260195227,-0.00999999945157,0.0,0.0,-0.97252059815,-0.232816733356
1539699500,0.341999234929,0.908363965243,-0.00999999993837,0.0,0.0,-0.99131866605,-0.131481162826
1539699501,0.171563581305,0.929085350312,-0.01000000027,0.0,0.0,-0.99954321361,-0.0302223612932
1539699502,0.00975093307489,0.959459023819,-0.00999999949392,0.0,0.0,-0.985088450829,-0.172048520586
1539699503,-0.134259976422,1.01264004536,-0.00999999993789,0.0,0.0,-0.998537098804,-0.054070843351
1539699504,-0.222569926606,0.971671976732,-0.00999999995038,0.0,0.0,-0.947790993965,0.318892186793
1539699505,-0.250483901467,0.87088258686,-0.00999999982798,0.0,0.0,-0.78667679275,0.617365051283
1539699506,-0.267866188685,0.710344844392,-0.010000000303,0.0,0.0,-0.620668985895,0.784072726377
1539699507,-0.208867995824,0.54472799539,-0.00999999987347,0.0,0.0,-0.555753998164,0.831346787371
1539699508,-0.144118065094,0.391585232112,-0.0100000001871,0.0,0.0,-0.545440816156,0.838149351122
1539699509,-0.0777881111418,0.230325147406,-0.0100000002127,0.0,0.0,-0.569732606935,0.821830139302
1539699510,-0.0105334301771,0.0780207900762,-0.00999999985308,0.0,0.0,-0.475123813441,0.879918943545
1539699511,0.0819931905326,0.00158040380946,-0.00999999991336,0.0,0.0,-0.209779852291,0.977748640965
1539699512,0.222216246881,-0.00527009418836,-0.00999999980292,0.0,0.0,0.143119545805,0.989705398541
1539699513,0.370040094264,0.0695042633698,-0.00999999966057,0.0,0.0,0.21640283923,0.976304141767
1539699514,0.506053481887,0.101169581225,-0.0100000002243,0.0,0.0,-0.0498555549628,0.998756449829
1539699515,0.557287724593,0.0676734248437,-0.0099999997881,0.0,0.0,-0.516741618892,0.856141389091
1539699516,0.557878902305,0.0028721240398,-0.00999999966885,0.0,0.0,-0.87261129244,0.488415293773
1539699517,0.461359084047,-0.0704927811339,-0.0100000002537,0.0,0.0,-0.977542863685,0.210736743435
1539699518,0.301305172131,-0.134799691123,-0.0100000000391,0.0,0.0,-0.977973216604,0.208730427855
1539699519,0.149163936421,-0.218360979394,-0.0100000001483,0.0,0.0,-0.956981176056,0.290150036187
1539699520,0.0289389213442,-0.313740237587,-0.00999999989217,0.0,0.0,-0.940857599882,0.338802252002
1539699521,-0.12070332207,-0.408249969744,-0.00999999973107,0.0,0.0,-0.980365960662,0.197186602694
1539699522,-0.283663349228,-0.45004329614,-0.00999999996146,0.0,0.0,-0.999084085966,0.0427900142106
1539699523,-0.47955706813,-0.404771858435,-0.00999999960732,0.0,0.0,-0.989114795022,-0.14714578825
1539699524,-0.614642915035,-0.342975678263,-0.010000000232,0.0,0.0,-0.94454279118,-0.328388396315
1539699525,-0.630984128341,-0.281806529156,-0.00999999974643,0.0,0.0,0.662892275569,0.74871476921
1539699526,-0.577836522557,-0.229644443671,-0.0100000004668,0.0,0.0,0.18544520252,0.982654630855
1539699527,-0.501181770449,-0.239408885466,-0.00999999955509,0.0,0.0,-0.235741823049,0.971815696711
1539699528,-0.418279219422,-0.293736351149,-0.00999999989984,0.0,0.0,-0.309218822267,0.950990909493
1539699529,-0.418279258339,-0.293736370877,-0.00999999996806,0.0,0.0,-0.309215288998,0.950992061931
1539699530,-0.418279222716,-0.293736352819,-0.0100000000929,0.0,0.0,-0.309218923504,0.950990886728
1539699531,-0.418279289258,-0.293736386551,-0.0100000002311,0.0,0.0,-0.309216241421,0.950991766078
1539699532,-0.418279344347,-0.293736414477,-0.0100000003474,0.0,0.0,-0.309224413189,0.950989115095
1539699533,-0.418279402406,-0.293736443908,-0.0100000003824,0.0,0.0,-0.309232114594,0.950986612703
1539699534,-0.418279379288,-0.293736432189,-0.0100000001194,0.0,0.0,-0.309224318373,0.950989133935
time,tx,ty,tz,rx,ry,rz,rw
time,tx,ty,tz,rx,ry,rz,rw
time,tx,ty,tz,rx,ry,rz,rw
time,tx,ty,tz,rx,ry,rz,rw
6969,,,,,,,
dia1-ground_truth-mocap-laser-link,,,,,,,
6969,,,,,,,
  x,0.275254458189,0.945684432983,0.108938105404,0.00153081153985,0.00228834734298,-0.167977899313,-0.985786914825
1539699407,0.938623309135,1.27528858185,0.108591534197,0.000678308075294,-0.00336018833332,0.738310277462,0.674452602863
1539699408,0.938633680344,1.27531397343,0.108578838408,0.000594075885601,-0.003380746115,0.738339483738,0.67442047596
1539699409,0.938631772995,1.27531731129,0.108583204448,0.000595984456595,-0.00336765241809,0.738341271877,0.674418628216
1539699410,0.93861758709,1.27527558804,0.108560614288,0.000808808777947,-0.00334188062698,0.738289177418,0.674475491047
1539699411,0.9386241436,1.27533566952,0.108612000942,0.000401651195716,-0.00338385114446,0.738401472569,0.674352765083
1539699412,0.938632965088,1.27532064915,0.108589038253,0.000436279195128,-0.00341107114218,0.738384664059,0.674371123314
1539699413,0.93862593174,1.27531588078,0.108586788177,0.00053102360107,-0.00340625434183,0.738350510597,0.674408435822
1539699414,0.929526329041,1.37600266933,0.108370937407,-0.000679667165969,-0.00522332265973,0.745418846607,0.666575670242
1539699415,0.909776866436,1.54230952263,0.107714928687,0.000803505652584,-0.00230262079276,0.83587706089,0.548911392689
